sampledate,depth,wtemp,o2
5/26/83,2,11.5,10.7
5/26/83,3,11.5,10.7
5/26/83,4,11.5,10.7
5/26/83,5,11.5,10.7
5/26/83,6,11.5,10.7
5/26/83,7,11.5,10.7
5/26/83,8,11.3,10.7
5/26/83,9,10.4,10.8
5/26/83,10,8.8,10.8
5/26/83,11,8.2,10.4
5/26/83,12,7.8,10
5/26/83,13,7.5,9.7
5/26/83,14,7.4,9.3
5/26/83,15,7.3,9.1
5/26/83,16,7.3,9
5/26/83,17,7.3,9.8
5/26/83,18,7.2,8.6
5/26/83,19,7.2,8.5
5/26/83,20,7.2,8.2
6/6/83,0,13.2,11
6/6/83,1,13.2,11
6/6/83,2,13.1,11
6/6/83,3,13.1,11
6/6/83,4,13.1,11
6/6/83,5,13.1,11
6/6/83,6,13,11.1
6/6/83,7,13,11.1
6/6/83,8,12.9,11
6/6/83,9,12.8,11.1
6/6/83,10,10.8,10.8
6/6/83,11,10.5,10.8
6/6/83,12,9.2,10.6
6/6/83,13,8.9,10.2
6/6/83,14,8.2,9
6/6/83,15,7.6,8
6/6/83,16,7.6,7.5
6/6/83,17,7.6,7.4
6/6/83,18,7.6,7.4
6/22/83,0,21.2,9.2
6/22/83,1,20.9,9.1
6/22/83,2,20.8,9.1
6/22/83,3,20.7,9.1
6/22/83,4,20.6,9.2
6/22/83,5,19.6,9.4
6/22/83,6,18.9,9.6
6/22/83,7,17.6,9.6
6/22/83,8,16,9.9
6/22/83,9,13.5,10.4
6/22/83,10,12.2,10.4
6/22/83,11,10.9,10
6/22/83,12,10.1,9.8
6/22/83,13,9.7,9.5
6/22/83,14,8.7,8
6/22/83,15,8.4,7.2
6/22/83,16,8.4,6.7
6/22/83,17,8.3,6.7
6/22/83,18,8.2,6.6
6/22/83,19,8.2,6.1
7/6/83,0,21.7,8.8
7/6/83,1,21.7,8.8
7/6/83,2,21.6,8.8
7/6/83,3,21.5,8.8
7/6/83,4,21.5,8.8
7/6/83,5,21.5,8.8
7/6/83,6,21.3,8.8
7/6/83,7,21.2,8.9
7/6/83,8,16.6,10
7/6/83,9,14.4,10.4
7/6/83,10,12.8,9.9
7/6/83,11,11.5,9.6
7/6/83,12,10.8,9
7/6/83,13,10,7.8
7/6/83,14,9.6,7.4
7/6/83,15,9.1,7.3
7/6/83,16,9,7.1
7/6/83,17,8.8,5.4
7/6/83,18,8.7,5.2
7/6/83,19,8.7,5.2
7/6/83,20,8.6,3.8
7/18/83,0,26.2,7.8
7/18/83,1,26.2,7.9
7/18/83,2,25.9,8
7/18/83,3,25.5,7.8
7/18/83,4,25.3,7.9
7/18/83,5,23.7,8.3
7/18/83,6,22.3,8.9
7/18/83,7,21.6,8.8
7/18/83,8,18.8,9.6
7/18/83,9,16.1,10.6
7/18/83,10,15.1,10.8
7/18/83,11,13.5,11.2
7/18/83,12,12.2,11.3
7/18/83,13,11.1,8.9
7/18/83,14,10.3,7.8
7/18/83,15,9.6,7.3
7/18/83,16,9.1,6.4
7/18/83,17,9,4.3
7/18/83,18,8.8,3.6
7/18/83,19,8.8,2.3
8/2/83,0,24.8,8.7
8/2/83,1,24.8,8.8
8/2/83,2,24.7,9
8/2/83,3,24.7,9
8/2/83,4,24.6,9.1
8/2/83,5,24.5,9.1
8/2/83,6,24.5,9.2
8/2/83,7,23.4,9.7
8/2/83,8,19.8,11.4
8/2/83,9,16.3,12.2
8/2/83,10,14.1,11
8/2/83,11,12.5,12.9
8/2/83,12,10.9,10.5
8/2/83,13,10,6.3
8/2/83,14,9.4,4.2
8/2/83,15,9.1,2.7
8/2/83,16,8.8,1.5
8/2/83,17,8.6,0.5
8/2/83,18,8.6,0.2
8/2/83,19,8.5,0.2
8/2/83,20,8.5,0.2
8/17/83,0,25.3,9.4
8/17/83,1,25,9.5
8/17/83,2,24.8,9.6
8/17/83,3,24.4,9.8
8/17/83,4,24.1,9.9
8/17/83,5,23.9,10
8/17/83,6,23.4,10
8/17/83,7,23.3,10
8/17/83,8,22.4,10
8/17/83,9,18.1,11
8/17/83,10,15.2,12.4
8/17/83,11,13.2,12.6
8/17/83,12,11.3,9.8
8/17/83,13,10.2,5
8/17/83,14,9.4,1
8/17/83,15,9,0.3
8/17/83,16,8.8,0.2
8/17/83,17,8.6,0.2
8/17/83,18,8.5,0.2
8/17/83,19,8.5,0.2
9/7/83,0,22.2,7.6
9/7/83,1,22.2,7.5
9/7/83,2,22.2,7.4
9/7/83,3,22.3,7.4
9/7/83,4,22.3,7.4
9/7/83,5,22.3,7.4
9/7/83,6,22.2,7.3
9/7/83,7,22.2,7.3
9/7/83,8,22.2,7.1
9/7/83,9,21.6,7
9/7/83,10,15.7,7
9/7/83,11,11.9,7
9/7/83,12,11.6,3.8
9/7/83,13,10.6,2.4
9/7/83,14,9.9,0.1
9/7/83,15,9,0
9/7/83,16,8.7,0
9/7/83,17,8.6,0
9/7/83,18,8.6,0
9/7/83,19,8.5,0
9/28/83,0,16.1,8.4
9/28/83,1,16,8.4
9/28/83,2,16,8.4
9/28/83,3,15.8,8.5
9/28/83,4,15.7,8.5
9/28/83,5,15.5,8.4
9/28/83,6,15.4,8.4
9/28/83,7,14.8,7.7
9/28/83,8,14.6,7.9
9/28/83,9,14.6,7.8
9/28/83,10,14.5,7.8
9/28/83,11,14.4,7.4
9/28/83,12,13.7,5.9
9/28/83,13,12.2,2.2
9/28/83,14,10.6,0.1
9/28/83,15,9.5,0.1
9/28/83,16,9.1,0
9/28/83,17,8.8,0
9/28/83,18,8.7,0
9/28/83,19,8.6,0
10/17/83,0,11,8.4
10/17/83,1,11,8.4
10/17/83,2,11,8.3
10/17/83,3,11,8.3
10/17/83,4,11,8.3
10/17/83,5,11,8.3
10/17/83,6,11,8.2
10/17/83,7,11,8.2
10/17/83,8,11,8.2
10/17/83,9,11,8.2
10/17/83,10,11,8.2
10/17/83,11,11,8.2
10/17/83,12,11,8.2
10/17/83,13,11,8.2
10/17/83,14,11,8.2
10/17/83,15,11,8.2
10/17/83,16,10.9,8.1
10/17/83,17,10.9,8.1
10/17/83,18,8.8,0.4
10/17/83,19,8.7,0.4
11/2/83,0,9.3,8.3
11/2/83,1,9.3,8.4
11/2/83,2,9.2,8.3
11/2/83,3,9.1,8.2
11/2/83,4,9.1,8.2
11/2/83,5,9.1,8.2
11/2/83,6,9.1,8.1
11/2/83,7,9.1,8
11/2/83,8,9.1,8
11/2/83,9,9,8
11/2/83,10,9,8
11/2/83,11,9,7.8
11/2/83,12,9,7.6
11/2/83,13,8.9,7.6
11/2/83,14,8.9,7.7
11/2/83,15,8.9,7.6
11/2/83,16,8.8,7.8
11/2/83,17,8.8,7.6
11/2/83,18,8.7,7.5
11/2/83,19,8.7,7.5
11/14/83,0,5.6,9.5
11/14/83,1,5.6,9.4
11/14/83,2,5.6,9.3
11/14/83,3,5.6,9.3
11/14/83,4,5.6,9.3
11/14/83,5,5.6,9.2
11/14/83,6,5.6,9.1
11/14/83,7,5.6,9.1
11/14/83,8,5.6,9.1
11/14/83,9,5.6,9.1
11/14/83,10,5.6,9.1
11/14/83,11,5.6,9.1
11/14/83,12,5.5,9.1
11/14/83,13,5.5,9.1
11/14/83,14,5.5,9.1
11/14/83,15,5.5,9.1
11/14/83,16,5.5,9.1
11/14/83,17,5.5,9.1
11/14/83,18,5.5,9.1
11/14/83,19,5.5,9.1
11/28/83,0,1.8,8.1
11/28/83,1,1.8,8.1
11/28/83,2,1.8,7.8
11/28/83,3,1.8,7.8
11/28/83,4,1.8,7.8
11/28/83,5,1.8,7.7
11/28/83,6,1.8,7.7
11/28/83,7,1.7,7.7
11/28/83,8,1.8,7.6
11/28/83,9,1.7,7.5
11/28/83,10,1.7,7.5
11/28/83,11,1.7,7.5
11/28/83,12,1.7,7.5
11/28/83,13,1.8,7.5
11/28/83,14,1.8,7.4
11/28/83,15,1.8,7.4
11/28/83,16,1.8,7.4
11/28/83,17,1.8,7.3
11/28/83,18,1.9,7.3
11/28/83,19,1.9,7.3
1/10/84,0,0.1,12.8
1/10/84,1,0.7,11.6
1/10/84,2,1,11
1/10/84,3,1.1,11.1
1/10/84,4,1.2,11.1
1/10/84,5,1.3,11
1/10/84,6,1.4,10.8
1/10/84,7,1.5,10.6
1/10/84,8,1.6,10.3
1/10/84,9,1.7,10.1
1/10/84,10,1.8,9.6
1/10/84,11,1.8,9.2
1/10/84,12,2,9.2
1/10/84,13,2.1,8.8
1/10/84,14,2.2,7.4
1/10/84,15,2.4,7
1/10/84,16,2.6,6.5
1/10/84,17,2.8,1.6
1/10/84,18,3,0.2
1/10/84,19,3.2,0.1
2/23/84,0,0.2,11.9
2/23/84,1,1.2,11.5
2/23/84,2,1.8,11.1
2/23/84,3,1.8,10.7
2/23/84,4,1.9,10.6
2/23/84,5,2,10.3
2/23/84,6,2.1,9.8
2/23/84,7,2.1,9.6
2/23/84,8,2.3,9.2
2/23/84,9,2.3,8.9
2/23/84,10,2.5,8.5
2/23/84,11,2.6,7.7
2/23/84,12,2.7,7.4
2/23/84,13,2.8,7
2/23/84,14,2.9,5.5
2/23/84,15,3,6.1
2/23/84,16,3.1,5.2
2/23/84,17,3.4,1.7
2/23/84,18,3.7,0.3
2/23/84,19,3.9,0.2
4/4/84,0,0.3,10.6
4/4/84,1,2.4,9.8
4/4/84,2,2.9,9
4/4/84,3,2.9,9
4/4/84,4,2.9,9
4/4/84,5,2.9,8.9
4/4/84,6,2.9,8.9
4/4/84,7,2.9,8.9
4/4/84,8,2.9,8.8
4/4/84,9,2.9,8.8
4/4/84,10,3,8.6
4/4/84,11,3.1,8.4
